champion name, relationship, agent champion name, lane, win rate
Taric,best against,Sett,Support,0.0708
Taric,best against,Malphite,Support,0.0331
Taric,best against,Nautilus,Support,0.0244
Taric,best against,Thresh,Support,0.0225
Taric,best against,Braum,Support,0.0188
Taric,best against,Blitzcrank,Support,0.0141
Taric,best against,Rakan,Support,0.0059
Taric,is countered by,Zilean,Support,-0.056
Taric,is countered by,Janna,Support,-0.0535
Taric,is countered by,Brand,Support,-0.0527
Taric,is countered by,Sona,Support,-0.048
Taric,is countered by,Bard,Support,-0.0393
Taric,is countered by,Nami,Support,-0.0348
Taric,is countered by,Swain,Support,-0.0307
Taric,is countered by,Soraka,Support,-0.03
Taric,is countered by,Vel'Koz,Support,-0.0279
Taric,is countered by,Senna,Support,-0.0196
Taric,is countered by,Lulu,Support,-0.0145
Taric,is countered by,Xerath,Support,-0.0117
Taric,is countered by,Karma,Support,-0.0094
Taric,is countered by,Zyra,Support,-0.0082
Taric,is countered by,Alistar,Support,-0.0073
Taric,is countered by,Lux,Support,-0.0053
Taric,best with,Amumu,Jungler,0.089
Taric,best with,Zac,Jungler,0.0783
Taric,best with,Maokai,Top,0.0646
Taric,best with,Twitch,ADCarry,0.0613
Taric,best with,Neeko,Mid,0.0594
Taric,best with,Diana,Mid,0.0563
Taric,best with,Urgot,Top,0.0534
Taric,best with,Shen,Top,0.0456
Taric,best with,Sivir,ADCarry,0.0404
Taric,best with,Fizz,Mid,0.0364
Taric,best with,Teemo,Top,0.0346
Taric,best with,Lux,Mid,0.0345
Taric,best with,Veigar,Mid,0.0338
Taric,best with,Malphite,Top,0.0332
Taric,best with,MasterYi,Jungler,0.0328
Taric,best with,Yasuo,Mid,0.0317
Taric,best with,Trundle,Jungler,0.03
Taric,best with,Vi,Jungler,0.0295
Taric,best with,Nasus,Top,0.029
Taric,best with,Ashe,ADCarry,0.0287
Taric,best with,Jinx,ADCarry,0.0285
Taric,best with,Ekko,Jungler,0.0285
Taric,best with,MissFortune,ADCarry,0.0255
Taric,best with,Syndra,Mid,0.0253
Taric,best with,Graves,Jungler,0.0248
Taric,best with,Illaoi,Top,0.0232
Taric,best with,XinZhao,Jungler,0.023
Taric,best with,Sett,Top,0.0207
Taric,best with,Kalista,ADCarry,0.0192
Taric,best with,Varus,ADCarry,0.0176
Taric,best with,Rammus,Jungler,0.0174
Taric,best with,Kayn,Jungler,0.0157
Taric,best with,Nocturne,Jungler,0.0145
Taric,best with,Shaco,Jungler,0.0126
Taric,best with,Jax,Jungler,0.0121
Taric,best with,Vayne,ADCarry,0.0109
Taric,best with,Jhin,ADCarry,0.0106
Taric,best with,Ekko,Mid,0.0102
Taric,best with,Warwick,Jungler,0.0096000000000001
Taric,best with,Tryndamere,Top,0.0088
Taric,best with,Draven,ADCarry,0.0075000000000001
Taric,best with,Mordekaiser,Top,0.0073000000000001
Taric,best with,Darius,Top,0.0072000000000001
Taric,best with,Xayah,ADCarry,0.0046
Taric,best with,Jax,Top,0.0037
Taric,best with,Kha'Zix,Jungler,0.0032000000000001
Taric,best with,Ahri,Mid,0.0029
Taric,best with,Fiora,Top,0.0015000000000001
Sona,best against,Veigar,Support,0.0296
Sona,best against,Rakan,Support,0.0239
Sona,best against,Sett,Support,0.0221
Sona,best against,Morgana,Support,0.021
Sona,best against,Thresh,Support,0.0131
Sona,best against,Lulu,Support,0.0113
Sona,best against,Bard,Support,0.0085000000000001
Sona,best against,Karma,Support,0.0081
Sona,best against,Malphite,Support,0.0054000000000001
Sona,is countered by,Blitzcrank,Support,-0.0376
Sona,is countered by,Zyra,Support,-0.0328
Sona,is countered by,Swain,Support,-0.0314
Sona,is countered by,Nautilus,Support,-0.0137
Sona,is countered by,Brand,Support,-0.0134
Sona,is countered by,Leona,Support,-0.011
Sona,is countered by,Yuumi,Support,-0.0109
Sona,is countered by,Janna,Support,-0.0073
Sona,is countered by,Soraka,Support,-0.0071
Sona,is countered by,Taric,Support,-0.0063
Sona,is countered by,Nami,Support,-0.0063
Sona,is countered by,Xerath,Support,-0.0054999999999999
Sona,best with,Rammus,Jungler,0.0578
Sona,best with,Xerath,Mid,0.0569
Sona,best with,Urgot,Top,0.0406
Sona,best with,Volibear,Jungler,0.0382
Sona,best with,Zac,Jungler,0.0372
Sona,best with,Diana,Mid,0.0368
Sona,best with,Amumu,Jungler,0.0357
Sona,best with,Maokai,Top,0.0331
Sona,best with,Nasus,Top,0.031
Sona,best with,Malzahar,Mid,0.031
Sona,best with,Gnar,Top,0.0303
Sona,best with,Teemo,Top,0.0298
Sona,best with,Wukong,Jungler,0.0268
Sona,best with,Kayn,Jungler,0.026
Sona,best with,Veigar,Mid,0.0249
Sona,best with,Annie,Mid,0.0249
Sona,best with,Vel'Koz,Mid,0.0244
Sona,best with,Trundle,Jungler,0.0202
Sona,best with,MasterYi,Jungler,0.0199
Sona,best with,Jhin,ADCarry,0.0197
Sona,best with,Shyvana,Jungler,0.0196
Sona,best with,Fizz,Mid,0.0188
Sona,best with,Warwick,Jungler,0.0187
Sona,best with,Yorick,Top,0.0186
Sona,best with,Ahri,Mid,0.0175
Sona,best with,Jinx,ADCarry,0.0153
Sona,best with,MissFortune,ADCarry,0.0153
Sona,best with,Syndra,Mid,0.0143
Sona,best with,Ashe,ADCarry,0.014
Sona,best with,Ornn,Top,0.0138
Sona,best with,Neeko,Mid,0.0131
Sona,best with,Garen,Top,0.0127
Sona,best with,Malphite,Top,0.0123
Sona,best with,Illaoi,Top,0.0098
Sona,best with,Dr.Mundo,Top,0.0092000000000001
Sona,best with,Yasuo,Mid,0.0092000000000001
Sona,best with,Fiora,Top,0.0088
Sona,best with,Nocturne,Jungler,0.0074000000000001
Sona,best with,Lux,Mid,0.007
Sona,best with,Varus,ADCarry,0.0056
Sona,best with,Hecarim,Jungler,0.0055000000000001
Sona,best with,Jax,Jungler,0.0053000000000001
Sona,best with,JarvanIV,Jungler,0.0049
Sona,best with,Draven,ADCarry,0.004
Sona,best with,Ekko,Mid,0.0035000000000001
Sona,best with,Lucian,ADCarry,0.0024000000000001
Sona,best with,Orianna,Mid,0.00020000000000009
Sona,best with,Graves,Jungler,0.00020000000000009
Maokai,best against,Akali,Top,0.0667
Maokai,best against,Quinn,Top,0.0595
Maokai,best against,Vayne,Top,0.0504
Maokai,best against,Jayce,Top,0.0496
Maokai,best against,Gangplank,Top,0.0473
Maokai,best against,Yasuo,Top,0.0398
Maokai,best against,Camille,Top,0.0391
Maokai,best against,Riven,Top,0.0339
Maokai,best against,Wukong,Top,0.0325
Maokai,best against,Malphite,Top,0.0319
Maokai,best against,Pyke,Support,0.0248
Maokai,best against,Gnar,Top,0.0228
Maokai,best against,Poppy,Top,0.0226
Maokai,best against,Vladimir,Top,0.0175
Maokai,best against,Thresh,Support,0.0152
Maokai,best against,Teemo,Top,0.0152
Maokai,best against,Kayn,Top,0.0072
Maokai,is countered by,Mordekaiser,Top,-0.0663
Maokai,is countered by,Singed,Top,-0.046
Maokai,is countered by,Nasus,Top,-0.0433
Maokai,is countered by,Dr.Mundo,Top,-0.0402
Maokai,is countered by,Leona,Support,-0.0373
Maokai,is countered by,Illaoi,Top,-0.031
Maokai,is countered by,Nami,Support,-0.0295
Maokai,is countered by,Volibear,Top,-0.0285
Maokai,is countered by,Yorick,Top,-0.0284
Maokai,is countered by,Blitzcrank,Support,-0.0256
Maokai,is countered by,Morgana,Support,-0.0246
Maokai,is countered by,Nautilus,Support,-0.0187
Maokai,is countered by,Sett,Top,-0.0161
Maokai,is countered by,Darius,Top,-0.0158
Maokai,is countered by,Lulu,Support,-0.0148
Maokai,is countered by,Garen,Top,-0.0128
Maokai,is countered by,Brand,Support,-0.0117
Maokai,is countered by,Soraka,Support,-0.0113
Maokai,is countered by,Senna,Support,-0.0112
Maokai,is countered by,Kled,Top,-0.0083
Maokai,is countered by,Ornn,Top,-0.0067
Maokai,is countered by,Cho'Gath,Top,-0.005
Maokai,best with,Kayn,Jungler,0.0505
Maokai,best with,Fizz,Mid,0.0503
Maokai,best with,Diana,Mid,0.0503
Maokai,best with,Nami,Support,0.0389
Maokai,best with,Leona,Support,0.0377
Maokai,best with,Brand,Support,0.0358
Maokai,best with,MasterYi,Jungler,0.032
Maokai,best with,Sona,Support,0.0295
Maokai,best with,Veigar,Mid,0.0235
Maokai,best with,Lux,Mid,0.0228
Maokai,best with,Jhin,ADCarry,0.0213
Maokai,best with,Amumu,Jungler,0.0201
Maokai,best with,Zac,Jungler,0.0197
Maokai,best with,Graves,Jungler,0.0174
Maokai,best with,MissFortune,ADCarry,0.0171
Maokai,best with,Vayne,ADCarry,0.0169
Maokai,best with,Jax,Jungler,0.0168
Maokai,best with,Talon,Mid,0.0164
Maokai,best with,XinZhao,Jungler,0.0155
Maokai,best with,Ekko,Jungler,0.0147
Maokai,best with,Yasuo,Mid,0.0143
Maokai,best with,Morgana,Support,0.0142
Maokai,best with,Jinx,ADCarry,0.0133
Maokai,best with,Ekko,Mid,0.0118
Maokai,best with,Kassadin,Mid,0.0111
Maokai,best with,Blitzcrank,Support,0.0098
Maokai,best with,Nocturne,Jungler,0.0097
Maokai,best with,Yuumi,Support,0.0097
Maokai,best with,Ashe,ADCarry,0.0091
Maokai,best with,Warwick,Jungler,0.0089
Maokai,best with,Pyke,Support,0.0085
Maokai,best with,Caitlyn,ADCarry,0.0077
Maokai,best with,Lucian,ADCarry,0.0044999999999999
Maokai,best with,Lulu,Support,0.003
Maokai,best with,Draven,ADCarry,0.0024999999999999
Maokai,best with,Varus,ADCarry,0.0024
Maokai,best with,Kha'Zix,Jungler,0.0016
Fizz,best against,Qiyana,Mid,0.0714
Fizz,best against,Irelia,Mid,0.0597
Fizz,best against,Zoe,Mid,0.0455
Fizz,best against,Akali,Mid,0.0454
Fizz,best against,Ryze,Mid,0.0386
Fizz,best against,Azir,Mid,0.0315
Fizz,best against,Katarina,Mid,0.0242
Fizz,best against,Xerath,Mid,0.0223
Fizz,best against,TwistedFate,Mid,0.0221
Fizz,best against,Talon,Mid,0.0213
Fizz,best against,LeBlanc,Mid,0.0201
Fizz,best against,Viktor,Mid,0.0176
Fizz,best against,Syndra,Mid,0.0167
Fizz,best against,Corki,Mid,0.0155
Fizz,best against,Veigar,Mid,0.015
Fizz,best against,Zed,Mid,0.0132
Fizz,best against,Heimerdinger,Mid,0.0131
Fizz,best against,Cassiopeia,Mid,0.0065999999999999
Fizz,is countered by,Galio,Mid,-0.0442
Fizz,is countered by,Diana,Mid,-0.0433
Fizz,is countered by,Morgana,Mid,-0.0383
Fizz,is countered by,Lissandra,Mid,-0.0325
Fizz,is countered by,Vladimir,Mid,-0.03
Fizz,is countered by,Kassadin,Mid,-0.0203
Fizz,is countered by,Ekko,Mid,-0.0182
Fizz,is countered by,Neeko,Mid,-0.0179
Fizz,is countered by,Orianna,Mid,-0.0134
Fizz,is countered by,Rumble,Mid,-0.0128
Fizz,is countered by,Mordekaiser,Mid,-0.0095000000000001
Fizz,is countered by,Malzahar,Mid,-0.0074
Fizz,best with,Maokai,Top,0.0625
Fizz,best with,Swain,Support,0.0486
Fizz,best with,Dr.Mundo,Top,0.0458
Fizz,best with,Urgot,Top,0.0454
Fizz,best with,Brand,Support,0.0376
Fizz,best with,Amumu,Jungler,0.0336
Fizz,best with,Shyvana,Jungler,0.033
Fizz,best with,Nasus,Top,0.0325
Fizz,best with,Teemo,Top,0.0312
Fizz,best with,Kayn,Jungler,0.031
Fizz,best with,Vi,Jungler,0.0304
Fizz,best with,Rammus,Jungler,0.0301
Fizz,best with,Garen,Top,0.0283
