champion name,url,lane,win rate,ban rate
Taric,https://www.leagueofgraphs.com/champions/counters/taric/na/gold/sr-ranked,Support,0.5350,0.0192
Sona,https://www.leagueofgraphs.com/champions/counters/sona/na/gold/sr-ranked,Support,0.5345,0.002
Maokai,https://www.leagueofgraphs.com/champions/counters/maokai/na/gold/sr-ranked,Top,0.5279,0.0425
Fizz,https://www.leagueofgraphs.com/champions/counters/fizz/na/gold/sr-ranked,Mid,0.5272,0.1725
Graves,https://www.leagueofgraphs.com/champions/counters/graves/na/gold/sr-ranked,Jungler,0.5255,0.3027
Olaf,https://www.leagueofgraphs.com/champions/counters/olaf/na/gold/sr-ranked,Jungler,0.5240,0.1449
Kog'Maw,https://www.leagueofgraphs.com/champions/counters/kogmaw/na/gold/sr-ranked,ADCarry,0.5227,0.0015
Kled,https://www.leagueofgraphs.com/champions/counters/kled/na/gold/sr-ranked,Top,0.5210,0.0278
Singed,https://www.leagueofgraphs.com/champions/counters/singed/na/gold/sr-ranked,Top,0.5204,0.0051
Kennen,https://www.leagueofgraphs.com/champions/counters/kennen/na/gold/sr-ranked,Top,0.5202,0.0034
Vel'Koz,https://www.leagueofgraphs.com/champions/counters/velkoz/na/gold/sr-ranked,Mid;Support,0.5200,0.0103
Zyra,https://www.leagueofgraphs.com/champions/counters/zyra/na/gold/sr-ranked,Support,0.5199,0.0385
Urgot,https://www.leagueofgraphs.com/champions/counters/urgot/na/gold/sr-ranked,Top,0.5191,0.0148
Volibear,https://www.leagueofgraphs.com/champions/counters/volibear/na/gold/sr-ranked,Top;Jungler,0.5186,0.0087
MissFortune,https://www.leagueofgraphs.com/champions/counters/missfortune/na/gold/sr-ranked,ADCarry,0.5179,0.0861
Wukong,https://www.leagueofgraphs.com/champions/counters/monkeyking/na/gold/sr-ranked,Jungler;Top,0.5177,0.2785
Draven,https://www.leagueofgraphs.com/champions/counters/draven/na/gold/sr-ranked,ADCarry,0.5176,0.0648
Sion,https://www.leagueofgraphs.com/champions/counters/sion/na/gold/sr-ranked,Top,0.5170,0.0018
Kayn,https://www.leagueofgraphs.com/champions/counters/kayn/na/gold/sr-ranked,Jungler,0.5168,0.12
Diana,https://www.leagueofgraphs.com/champions/counters/diana/na/gold/sr-ranked,Mid,0.5161,0.2151
Cassiopeia,https://www.leagueofgraphs.com/champions/counters/cassiopeia/na/gold/sr-ranked,Mid,0.5160,0.0429
MasterYi,https://www.leagueofgraphs.com/champions/counters/masteryi/na/gold/sr-ranked,Jungler,0.5158,0.4022
Lulu,https://www.leagueofgraphs.com/champions/counters/lulu/na/gold/sr-ranked,Support,0.5154,0.0289
Jinx,https://www.leagueofgraphs.com/champions/counters/jinx/na/gold/sr-ranked,ADCarry,0.5140,0.0025
Janna,https://www.leagueofgraphs.com/champions/counters/janna/na/gold/sr-ranked,Support,0.5139,0.0055
Blitzcrank,https://www.leagueofgraphs.com/champions/counters/blitzcrank/na/gold/sr-ranked,Support,0.5130,0.2899
Zilean,https://www.leagueofgraphs.com/champions/counters/zilean/na/gold/sr-ranked,Support,0.5128,0.0108
Shyvana,https://www.leagueofgraphs.com/champions/counters/shyvana/na/gold/sr-ranked,Jungler,0.5127,0.0538
Rammus,https://www.leagueofgraphs.com/champions/counters/rammus/na/gold/sr-ranked,Jungler,0.5120,0.0342
Galio,https://www.leagueofgraphs.com/champions/counters/galio/na/gold/sr-ranked,Mid;Support,0.5119,0.0206
Jhin,https://www.leagueofgraphs.com/champions/counters/jhin/na/gold/sr-ranked,ADCarry,0.5119,0.0138
Warwick,https://www.leagueofgraphs.com/champions/counters/warwick/na/gold/sr-ranked,Jungler,0.5118,0.0566
Yorick,https://www.leagueofgraphs.com/champions/counters/yorick/na/gold/sr-ranked,Top,0.5118,0.012
Shaco,https://www.leagueofgraphs.com/champions/counters/shaco/na/gold/sr-ranked,Jungler,0.5118,0.0847
